Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
-72428167	41422321	49	146	5000	0	194	0	0	reversedirection=yes highway=residential		97	96
-72426422	41420644	24	347	1000	57	52	0	0	highway=track surface=unpaved foot=yes	barrier=swing_gate	125	4883
-72426341	41420535	24	14	1000	0	0	0	0	highway=track surface=unpaved foot=yes		126	5198
-72428157	41420109	7	178	30500	0	212	0	0	reversedirection=yes highway=secondary surface=asphalt		242	5232
-72433238	41419280	2	435	40000	0	11	0	0	foot=yes bicycle=yes route=ferry		528	5232
-72436695	41417318	9	408	30500	0	59	0	0	reversedirection=yes highway=secondary	railway=level_crossing	823	9431
-72437166	41415686	15	187	30500	0	2	0	0	reversedirection=yes highway=secondary		972	15689
-72437234	41415499	15	35	5000	0	413	0	0	highway=residential		997	16141
-72440228	41411828	8	499	30500	0	79	100	0	reversedirection=yes highway=secondary	highway=traffic_signals traffic_signals:direction=both	1336	18339
-72450549	41403352	7	1349	30500	0	28	0	0	highway=secondary		2275	28183
-72450802	41403467	8	29	5500	0	120	0	0	highway=tertiary oneway=yes		2296	28322
-72456024	41425867	71	2674	5500	341	96	0	0	highway=tertiary		4390	113132
-72474847	41440921	41	2908	5000	41	342	0	0	highway=residential surface=asphalt		6434	145674
-72480698	41440928	47	524	5000	18	13	0	0	reversedirection=yes highway=residential surface=asphalt		6829	159259
-72486431	41443566	61	581	1000	86	96	0	0	reversedirection=yes highway=residential surface=unpaved		6956	182038
-72499496	41445041	119	1281	1000	309	58	0	0	reversedirection=yes highway=track tracktype=grade5 surface=earth smoothness=very_horrible		7303	244508
-72503361	41444780	136	335	1000	53	42	0	0	reversedirection=yes highway=residential surface=unpaved		7398	261761
-72506976	41439981	135	651	1000	56	232	0	0	reversedirection=yes highway=residential surface=compacted		7523	284181
-72518185	41434670	118	1239	5000	14	343	0	0	reversedirection=yes highway=residential surface=asphalt		8373	297357
-72520572	41433310	127	271	1000	0	148	0	0	highway=residential surface=compacted		8422	306279
-72522159	41432366	119	234	1000	0	51	0	0	highway=track surface=unpaved		8454	312073
-72524622	41437254	143	592	1200	114	4	0	0	highway=path		8616	341200
-72529236	41429735	106	1132	1000	40	838	0	0	reversedirection=yes highway=residential surface=compacted		8730	361689
-72529769	41428740	121	126	1000	57	7	0	0	reversedirection=yes highway=residential surface=compacted sidewalk=none		8779	370472
-72533855	41428164	151	393	1000	225	61	0	0	reversedirection=yes highway=track		8956	402341
-72536514	41427248	147	247	1000	0	9	0	0	reversedirection=yes highway=residential surface=compacted		8996	409676
-72538862	41426569	134	215	1000	0	4	0	0	reversedirection=yes highway=residential surface=unpaved sidewalk=none		9014	412853
-72551569	41426080	173	1213	1000	114	259	0	0	reversedirection=yes highway=residential surface=compacted		9282	461131
-72554671	41425890	177	266	5000	14	15	0	0	reversedirection=yes highway=residential surface=asphalt		9491	469212
-72557800	41422031	181	515	5000	0	182	0	0	highway=residential surface=asphalt	highway=turning_circle	9870	476340
-72559265	41420493	182	216	1000	0	16	0	0	highway=track surface=unpaved		9901	481916
-72563666	41419086	181	412	5000	0	7	0	0	highway=residential surface=asphalt		10195	484780
-72563668	41419075	180	2	36600	0	183	0	0	highway=primary surface=asphalt maxspeed=70 lanes=2		10197	484785
-72580753	41417604	163	1568	5000	7	349	0	0	highway=residential surface=asphalt		11288	498694
-72585154	41418630	178	406	1000	24	241	0	0	highway=residential surface=unpaved		11387	516572
-72605829	41423472	175	2145	1000	156	65	0	0	highway=track surface=unpaved		11732	578699
-72607501	41423599	183	157	1000	48	57	0	0	highway=residential surface=unpaved		11778	586934
-72619037	41417351	153	1342	5000	0	286	0	0	highway=residential surface=asphalt		12674	590791
-72618915	41417272	152	14	30500	0	287	0	0	highway=secondary surface=asphalt		12685	591073
-72632874	41412513	92	1794	5000	113	413	0	0	reversedirection=yes highway=residential surface=asphalt		13890	604281
-72666412	41404082	124	3435	5000	57	238	0	0	reversedirection=yes highway=unclassified surface=asphalt	highway=turning_circle	16434	663980
-72668612	41402402	113	267	1000	0	0	0	0	highway=track surface=unpaved		16459	668594
-72669051	41393207	115	1157	1000	0	95	0	0	reversedirection=yes highway=track		16634	700009
-72667396	41391798	111	224	2000	0	85	0	0	reversedirection=yes highway=service access=unknown foot=unknown bicycle=unknown		16660	704736
-72672580	41373662	77	2182	2000	25	689	0	0	highway=service access=unknown foot=unknown bicycle=unknown		16942	755467
-72689372	41373910	100	1617	1000	125	194	0	0	highway=track foot=yes		17264	813437
-72690202	41371329	98	328	1000	0	55	0	0	reversedirection=yes highway=track foot=yes		17307	821122
-72689352	41367235	87	473	1000	0	8	0	0	reversedirection=yes highway=track surface=unpaved foot=yes	barrier=swing_gate	17358	830386
-72689302	41366994	88	29	1000	0	2	0	0	reversedirection=yes highway=track surface=unpaved foot=yes		17361	830982
-72690386	41365160	86	229	5000	0	100	0	0	reversedirection=yes highway=residential surface=asphalt smoothness=bad		17519	831036
-72684949	41353279	75	2009	1200	0	14	0	0	reversedirection=yes highway=path surface=earth foot=yes		17794	880461
-72684889	41353036	76	28	1000	0	4	0	0	reversedirection=yes highway=service surface=unpaved		17799	881433
-72680591	41345148	63	1320	1200	0	28	0	0	reversedirection=yes highway=path surface=earth foot=yes		17970	912058
-72679981	41344471	57	93	1200	0	0	0	0	highway=path surface=earth		17977	913396
-72678403	41344044	42	194	1200	18	26	0	0	reversedirection=yes highway=path surface=earth		17991	915916
-72677225	41343160	36	154	1200	0	8	0	0	highway=path surface=earth		18004	918177
-72676683	41342714	36	85	1200	0	6	0	0	reversedirection=yes highway=path surface=earth foot=yes		18012	919744
-72676673	41342628	36	10	1200	0	0	0	0	highway=path surface=wood foot=yes		18013	919943
-72672708	41339541	51	807	1200	2	27	0	0	reversedirection=yes highway=path surface=earth foot=yes		18156	945617
-72674471	41335263	46	613	1200	0	16	0	0	reversedirection=yes highway=path foot=yes		18242	961054
-72674338	41334765	47	60	1200	0	2	0	0	reversedirection=yes highway=path surface=wood foot=yes		18249	962315
-72670308	41335164	44	351	5000	0	277	0	0	reversedirection=yes highway=residential		18494	964895
-72666248	41324976	46	1751	1200	0	46	0	0	reversedirection=yes highway=path		18746	1010213
-72663842	41325044	57	219	1200	0	15	0	0	highway=path		18801	1020218
-72668603	41314923	30	1443	1200	0	25	0	0	reversedirection=yes highway=path		18974	1051244
-72670259	41309217	6	908	1200	0	6	0	0	highway=path		19072	1069053
-72670336	41309136	6	12	1100	0	1	0	0	highway=footway		19074	1069249
-72671812	41307870	17	188	5000	0	1	0	0	highway=residential		19219	1074370
-72682800	41290281	12	2568	5000	75	611	0	0	reversedirection=yes highway=residential		21054	1102703
-72682774	41290015	11	35	5000	0	101	0	0	highway=residential oneway=yes		21079	1102947
-72682159	41288270	11	202	5000	0	20	100	0	reversedirection=yes highway=residential	highway=traffic_signals traffic_signals:direction=both	21223	1104126
-72681140	41284323	8	454	5000	0	1	0	0	reversedirection=yes highway=residential		21544	1106788
-72681421	41284303	8	24	5000	0	253	0	0	reversedirection=yes highway=residential surface=asphalt	highway=crossing crossing=unknown	21560	1106788
-72682266	41284227	9	72	5000	0	0	0	0	reversedirection=yes highway=residential surface=asphalt	highway=crossing crossing=unknown	21611	1107224
-72682263	41284159	9	8	31000	0	9	0	0	reversedirection=yes highway=footway footway=crossing		21617	1107263
-72681700	41281670	6	294	1100	0	2	0	0	highway=footway		21652	1113530
-72681739	41281595	6	9	1100	0	0	0	0	reversedirection=yes highway=pedestrian		21653	1113755
-72681843	41281552	6	10	31000	0	2	0	0	highway=footway footway=crossing	highway=crossing crossing=uncontrolled	21660	1113831
-72681667	41281288	6	35	30500	0	238	0	0	highway=secondary surface=asphalt lanes=2	highway=crossing crossing=uncontrolled	21685	1114054
-72681736	41281197	6	17	30500	0	256	0	0	highway=secondary surface=asphalt lanes=2	highway=crossing crossing=uncontrolled	21696	1114054
-72687667	41279103	0	560	30500	0	5	0	0	highway=secondary surface=asphalt lanes=2		22067	1114184
-72690562	41277861	8	320	30500	0	24	0	0	highway=secondary lanes=2		22306	1120447
-72693526	41277133	12	312	5000	0	162	0	0	highway=residential		22538	1125546
-72693796	41275899	15	144	5000	0	183	0	0	reversedirection=yes highway=residential		22654	1131082
-72706094	41276324	40	1210	5000	35	993	0	0	highway=residential		23555	1153418
-72706488	41276488	41	41	5000	0	67	0	0	reversedirection=yes highway=residential		23587	1154756
-72707357	41276944	43	92	2000	0	129	0	0	highway=service		23606	1158155
-72717467	41288164	33	2040	1200	23	68	0	0	reversedirection=yes highway=path		23899	1211008
-72724003	41292488	38	850	1200	68	14	0	0	highway=path bicycle=yes		24029	1234246
-72724034	41292328	39	18	5000	7	109	0	0	reversedirection=yes highway=residential		24045	1235419
-72724948	41293390	36	153	1100	5	14	0	0	reversedirection=yes highway=footway		24077	1241146
-72726407	41292831	37	140	5000	0	159	0	0	reversedirection=yes highway=residential		24178	1242580
-72727919	41292211	34	147	2000	0	24	0	0	reversedirection=yes highway=service		24196	1245849
-72729701	41291415	22	183	1000	0	17	0	0	reversedirection=yes highway=track		24212	1248704
-72732406	41290428	28	288	1200	0	8	0	0	reversedirection=yes highway=path bicycle=yes		24257	1256793
-72734227	41290467	27	223	1200	0	12	0	0	reversedirection=yes highway=path		24286	1262064
-72735603	41290685	24	131	1200	0	4	0	0	reversedirection=yes highway=path bicycle=yes		24302	1264941
-72737025	41289605	22	183	1200	0	2	0	0	highway=path		24323	1268611
-72736272	41282990	23	1001	1200	5	21	0	0	reversedirection=yes highway=path bicycle=yes		24489	1298492
-72735077	41282985	30	140	1200	0	12	0	0	highway=path		24510	1302346
-72734594	41282284	31	118	1200	0	5	0	0	reversedirection=yes highway=path		24527	1305485
-72729772	41265650	7	2751	1200	57	69	0	0	highway=path		24914	1375117
-72729944	41265486	5	24	2000	0	5	0	0	highway=service		24916	1375460
-72731959	41266272	10	199	30500	0	211	0	0	reversedirection=yes highway=secondary lanes=2		25054	1377340
-72732141	41266226	10	17	2000	0	219	0	0	reversedirection=yes highway=service	barrier=swing_gate	25057	1377922
-72732864	41266197	12	63	2000	0	7	0	0	reversedirection=yes highway=service		25069	1380038
-72745015	41264837	20	1451	1200	17	33	0	0	reversedirection=yes highway=path		25309	1423170
-72746350	41265754	17	174	1200	0	13	0	0	reversedirection=yes highway=path access=permissive		25326	1426380
-72750950	41264729	4	423	5000	0	18	0	0	reversedirection=yes highway=residential		25594	1426380
-72752227	41268667	7	499	5500	0	226	0	0	reversedirection=yes highway=tertiary surface=asphalt maxspeed=unknown	highway=crossing crossing=unknown	25951	1431722
-72752401	41268819	6	25	1100	0	7	0	0	reversedirection=yes highway=footway		25955	1432367
-72755111	41269458	0	252	5000	0	36	0	0	highway=residential		26122	1432367
-72766705	41270043	2	998	1100	59	0	0	0	reversedirection=yes highway=footway	barrier=block	26291	1462771
-72766856	41270004	3	14	1100	0	0	0	0	reversedirection=yes highway=footway	railway=crossing	26294	1463165
-72766945	41269962	4	9	1100	0	0	0	0	reversedirection=yes highway=footway	barrier=block	26295	1463455
-72767505	41270017	7	63	1100	0	5	0	0	reversedirection=yes highway=footway		26309	1465949
-72773246	41274686	14	910	1100	7	10	0	0	highway=footway		26476	1495954
-72773233	41274845	14	18	30500	0	231	0	0	reversedirection=yes highway=secondary lanes=2		26489	1496061
-72776925	41272314	19	712	1100	0	32	0	0	highway=footway		26589	1514184
-72778101	41273038	29	151	1100	16	13	0	0	reversedirection=yes highway=footway		26628	1521118
-72779716	41274214	21	213	1100	0	4	0	0	highway=footway	barrier=gate foot=yes motor_vehicle=no	26653	1525709
-72779912	41274315	21	21	1100	0	0	0	0	highway=footway	highway=crossing crossing=uncontrolled	26655	1526122
-72786644	41273885	22	687	1100	0	3	0	0	highway=footway	highway=crossing crossing=zebra	26748	1542788
-72787680	41274047	19	105	1300	0	546	0	0	highway=cycleway surface=asphalt foot=designated route_bicycle_rcn=yes	highway=crossing crossing=zebra	26761	1545127
-72793841	41273193	4	565	1300	0	334	0	0	highway=cycleway surface=asphalt foot=designated route_bicycle_rcn=yes		26818	1555462
-72797761	41272727	3	353	1300	0	38	0	0	highway=cycleway surface=asphalt foot=designated		26862	1563262
-72797634	41271890	1	98	1300	0	102	0	0	reversedirection=yes highway=cycleway surface=asphalt foot=designated		26872	1565159
-72798445	41271750	2	75	1300	0	57	0	0	highway=cycleway surface=asphalt foot=designated		26881	1566644
-72798694	41271763	3	21	5000	0	2	0	0	highway=unclassified surface=asphalt		26896	1566774
-72805093	41273857	5	764	5000	0	387	0	0	reversedirection=yes highway=residential		27438	1574202
-72804969	41273681	5	23	30500	0	413	0	0	highway=secondary lanes=2		27455	1574551
-72812908	41275190	3	1075	5000	0	488	0	0	reversedirection=yes highway=residential		28218	1583326
-72816907	41273363	2	418	5000	0	103	0	0	highway=residential		28519	1586828
-72819403	41271885	7	293	5500	0	229	0	0	highway=tertiary		28726	1588568
-72820866	41265152	11	789	5500	0	283	0	0	reversedirection=yes highway=tertiary		29298	1598500
-72831442	41267938	11	1094	5000	0	273	0	0	highway=residential		30078	1609119
-72834573	41261101	18	857	30500	0	202	0	0	highway=secondary		30695	1620308
-72852297	41259100	3	1617	30500	0	65	0	0	reversedirection=yes highway=secondary		31796	1628251
-72853496	41259862	10	138	30500	0	39	0	0	highway=secondary		31899	1630901
-72855973	41257611	6	373	5000	0	588	0	0	highway=residential		32165	1634372
-72856232	41257265	4	45	1000	0	0	0	0	highway=track		32170	1635245
-72858886	41256563	9	274	1000	0	425	0	0	reversedirection=yes highway=service surface=gravel		32211	1642689
-72859953	41255758	10	181	1000	0	7	0	0	reversedirection=yes highway=footway surface=gravel		32237	1647302
-72862798	41255561	16	295	5000	0	290	0	0	reversedirection=yes highway=residential		32468	1656145
-72866302	41254354	6	502	1200	0	18	0	0	reversedirection=yes highway=path surface=gravel		32524	1666263
-72867036	41254655	7	71	2000	0	20	0	0	reversedirection=yes highway=service		32533	1667895
-72869604	41253855	10	251	5000	0	307	0	0	highway=residential		32719	1671840
-72869320	41250542	8	370	5000	0	250	0	0	reversedirection=yes highway=residential		32981	1673519
-72871133	41250451	9	153	5000	0	249	0	0	highway=residential		33092	1675198
-72871088	41249846	9	68	5500	0	246	0	0	highway=tertiary		33140	1675393
-72872692	41248880	8	185	5000	0	295	0	0	highway=residential oneway=yes		33272	1676426
-72877625	41249042	9	468	5000	0	179	0	0	highway=residential		33606	1679806
